Symbol,Interim_Buffer_Date,Interim_Open,Interim_Low,Interim_High,Interim_Close
EOD/AAPL,2016-08-19 00:00:00.000,108.77,108.36,109.69,109.36
EOD/AAPL,2016-08-18 00:00:00.000,109.23,109.02,109.6,109.08
EOD/AAPL,2016-08-17 00:00:00.000,109.1,108.34,109.37,109.22
EOD/AAPL,2016-08-16 00:00:00.000,109.63,109.21,110.23,109.38
EOD/AAPL,2016-08-15 00:00:00.000,108.14,108.08,109.54,109.48
EOD/AAPL,2016-08-12 00:00:00.000,107.78,107.78,108.44,108.18
EOD/AAPL,2016-08-11 00:00:00.000,108.52,107.85,108.93,107.93
EOD/AAPL,2016-08-10 00:00:00.000,108.71,107.76,108.9,108
EOD/AAPL,2016-08-09 00:00:00.000,108.23,108.01,108.94,108.81
EOD/AAPL,2016-08-08 00:00:00.000,107.52,107.16,108.37,108.37
EOD/AAPL,2016-08-05 00:00:00.000,106.27,106.18,107.65,107.48
EOD/AAPL,2016-08-04 00:00:00.000,105.58,105.28,106,105.87
EOD/AAPL,2016-08-03 00:00:00.000,104.81,104.77,105.84,105.79
EOD/AAPL,2016-08-02 00:00:00.000,106.05,104,106.07,104.48
EOD/AAPL,2016-08-01 00:00:00.000,104.41,104.41,106.15,106.05
EOD/AAPL,2016-07-29 00:00:00.000,104.19,103.68,104.55,104.21
EOD/AAPL,2016-07-28 00:00:00.000,102.83,102.82,104.45,104.34
EOD/AAPL,2016-07-27 00:00:00.000,104.265,102.75,104.35,102.95
EOD/AAPL,2016-07-26 00:00:00.000,96.82,96.42,97.97,96.67
EOD/AAPL,2016-07-25 00:00:00.000,98.25,96.92,98.84,97.34
EOD/AAPL,2016-07-22 00:00:00.000,99.26,98.31,99.3,98.66
EOD/AAPL,2016-07-21 00:00:00.000,99.83,99.13,101,99.43
EOD/AAPL,2016-07-20 00:00:00.000,100,99.735,100.46,99.96
EOD/AAPL,2016-07-19 00:00:00.000,99.56,99.34,100,99.87
EOD/AAPL,2016-07-18 00:00:00.000,98.7,98.6,100.13,99.83
EOD/AAPL,2016-07-15 00:00:00.000,98.92,98.5,99.3,98.78
