Symbol,Interim_Buffer_Date,Interim_Open,Interim_Low,Interim_High,Interim_Close
EOD/AMZN,2016-08-19 00:00:00.000,761.9,756.89,762.49,757.31
EOD/AMZN,2016-08-18 00:00:00.000,764,760.6,765.17,764.46
EOD/AMZN,2016-08-17 00:00:00.000,764.41,759.199,765.22,764.63
EOD/AMZN,2016-08-16 00:00:00.000,768.62,763.82,768.7317,764.04
EOD/AMZN,2016-08-15 00:00:00.000,771.9,767.71,772.04,768.49
EOD/AMZN,2016-08-12 00:00:00.000,768.46,768.4225,773.15,772.56
EOD/AMZN,2016-08-11 00:00:00.000,769.94,769.12,773.75,771.24
EOD/AMZN,2016-08-10 00:00:00.000,769.8,766.19,772.1,768.56
EOD/AMZN,2016-08-09 00:00:00.000,767.39,766.9,772.6,768.31
EOD/AMZN,2016-08-08 00:00:00.000,766.81,761.015,767,766.56
EOD/AMZN,2016-08-05 00:00:00.000,764.81,763.09,768.47,765.98
EOD/AMZN,2016-08-04 00:00:00.000,753.7,750.35,765,760.77
EOD/AMZN,2016-08-03 00:00:00.000,757.06,752.25,758.89,754.64
EOD/AMZN,2016-08-02 00:00:00.000,763.81,757.02,765.01,760.58
EOD/AMZN,2016-08-01 00:00:00.000,759.87,757.06,770.5,767.74
EOD/AMZN,2016-07-29 00:00:00.000,765,755,766,758.81
EOD/AMZN,2016-07-28 00:00:00.000,745.98,739.7,753.36,752.61
EOD/AMZN,2016-07-27 00:00:00.000,737.97,733.86,740.94,736.67
EOD/AMZN,2016-07-26 00:00:00.000,742.71,732.7525,743.13,735.59
EOD/AMZN,2016-07-25 00:00:00.000,746.55,735.35,748.5,739.61
EOD/AMZN,2016-07-22 00:00:00.000,747.79,743.53,751.28,744.86
EOD/AMZN,2016-07-21 00:00:00.000,747.5,742.7918,749.36,744.43
EOD/AMZN,2016-07-20 00:00:00.000,744,740.7,746.25,745.72
EOD/AMZN,2016-07-19 00:00:00.000,732.5,732.31,743.33,739.95
EOD/AMZN,2016-07-18 00:00:00.000,735.49,728.72,741.5954,736.07
EOD/AMZN,2016-07-15 00:00:00.000,746.55,734.05,746.55,735.44
EOD/AMZN,2016-07-14 00:00:00.000,748.86,739.02,749.04,741.2
EOD/AMZN,2016-07-13 00:00:00.000,746.76,741.25,756.87,742.63
EOD/AMZN,2016-07-12 00:00:00.000,756.86,740.33,757.34,748.21
EOD/AMZN,2016-07-11 00:00:00.000,750,747,755.9,753.78
EOD/AMZN,2016-07-08 00:00:00.000,740.14,738,746.1,745.81
EOD/AMZN,2016-07-07 00:00:00.000,739.33,731.63,739.55,736.57
EOD/AMZN,2016-07-06 00:00:00.000,725.71,722.58,737.77,737.61
EOD/AMZN,2016-07-05 00:00:00.000,722.8,719.61,728.11,728.1
EOD/AMZN,2016-07-01 00:00:00.000,717.32,716.54,728,725.68
EOD/AMZN,2016-06-30 00:00:00.000,717.2,712.54,719.37,715.62
EOD/AMZN,2016-06-29 00:00:00.000,715.75,713.54,719.5,715.6
EOD/AMZN,2016-06-28 00:00:00.000,700,698.1714,708,707.95
EOD/AMZN,2016-06-27 00:00:00.000,692.01,682.115,696.8189,691.36
EOD/AMZN,2016-06-24 00:00:00.000,693,692.2,712.5292,698.96
EOD/AMZN,2016-06-23 00:00:00.000,715.5,712.5,722.12,722.08
EOD/AMZN,2016-06-22 00:00:00.000,716.58,707.565,717,710.6
EOD/AMZN,2016-06-21 00:00:00.000,715.72,712.721,718.4,715.82
EOD/AMZN,2016-06-20 00:00:00.000,713.5,710.81,721.31,714.01
EOD/AMZN,2016-06-17 00:00:00.000,718.19,699.18,718.2,706.39
EOD/AMZN,2016-06-16 00:00:00.000,712.05,705.3,718,717.51
EOD/AMZN,2016-06-15 00:00:00.000,722,713.3522,722.56,714.26
EOD/AMZN,2016-06-14 00:00:00.000,712.33,712.27,720.805,719.3
EOD/AMZN,2016-06-13 00:00:00.000,714.01,711.16,721.99,715.24
EOD/AMZN,2016-06-10 00:00:00.000,722.35,714.21,724.98,717.91
EOD/AMZN,2016-06-09 00:00:00.000,723.1,722.3,728.91,727.65
EOD/AMZN,2016-06-08 00:00:00.000,726.4,721.6,729.42,726.64
EOD/AMZN,2016-06-07 00:00:00.000,729.89,720.55,730,723.74
EOD/AMZN,2016-06-06 00:00:00.000,726.5,724.42,731.5,726.73
EOD/AMZN,2016-06-03 00:00:00.000,726.74,718.43,727,725.54
EOD/AMZN,2016-06-02 00:00:00.000,720.97,715.5001,728.28,728.24
EOD/AMZN,2016-06-01 00:00:00.000,720.9,718.22,726.43,719.44
EOD/AMZN,2016-05-31 00:00:00.000,712.33,711.32,724.23,722.79
EOD/AMZN,2016-05-27 00:00:00.000,715,711.1,716.6,712.24
EOD/AMZN,2016-05-26 00:00:00.000,708.33,707.293,715,714.91
EOD/AMZN,2016-05-25 00:00:00.000,708,705.5159,710.86,708.35
EOD/AMZN,2016-05-24 00:00:00.000,698.01,698,707.5,704.2
EOD/AMZN,2016-05-23 00:00:00.000,704.25,696.42,706,696.75
EOD/AMZN,2016-05-20 00:00:00.000,701.05,700,707.24,702.8
EOD/AMZN,2016-05-19 00:00:00.000,691.88,689.56,699.4,698.52
EOD/AMZN,2016-05-18 00:00:00.000,689.56,688.76,702.5399,697.45
EOD/AMZN,2016-05-17 00:00:00.000,709.9,693.91,714.47,695.27
EOD/AMZN,2016-05-16 00:00:00.000,710.13,700.28,713.25,710.66
EOD/AMZN,2016-05-13 00:00:00.000,714.64,706.51,719.25,709.92
EOD/AMZN,2016-05-12 00:00:00.000,717.38,711.51,722.45,717.93
EOD/AMZN,2016-05-11 00:00:00.000,705.79,701.65,719,713.23
EOD/AMZN,2016-05-10 00:00:00.000,694,693.5,704.55,703.07
EOD/AMZN,2016-05-09 00:00:00.000,673.95,671.41,686.98,679.75
EOD/AMZN,2016-05-06 00:00:00.000,656.05,656.01,676.95,673.95
EOD/AMZN,2016-05-05 00:00:00.000,673.31,656,676.49,659.09
EOD/AMZN,2016-05-04 00:00:00.000,662.59,662.14,674,670.9
EOD/AMZN,2016-05-03 00:00:00.000,677.36,670.43,680.3,671.32
EOD/AMZN,2016-05-02 00:00:00.000,663.92,662.0251,685.5,683.85
EOD/AMZN,2016-04-29 00:00:00.000,666,654,669.98,659.59
EOD/AMZN,2016-04-28 00:00:00.000,615.54,599.2,626.8,602
EOD/AMZN,2016-04-27 00:00:00.000,611.8,601.28,615.95,606.57
EOD/AMZN,2016-04-26 00:00:00.000,626.17,614.88,626.7549,616.88
EOD/AMZN,2016-04-25 00:00:00.000,616.61,616.2511,626.98,626.2
EOD/AMZN,2016-04-22 00:00:00.000,624.47,611.56,628.25,620.5
EOD/AMZN,2016-04-21 00:00:00.000,631,628.5,637.82,631
EOD/AMZN,2016-04-20 00:00:00.000,630,623,636.55,632.99
EOD/AMZN,2016-04-19 00:00:00.000,637.14,620.8,638.01,627.9
EOD/AMZN,2016-04-18 00:00:00.000,625.35,624.9603,637.64,635.35
EOD/AMZN,2016-04-15 00:00:00.000,621.92,618.11,626.77,625.89
EOD/AMZN,2016-04-14 00:00:00.000,615.07,615.07,624.38,620.75
EOD/AMZN,2016-04-13 00:00:00.000,607.68,605.29,616.81,614.82
EOD/AMZN,2016-04-12 00:00:00.000,598.4,592.31,604.06,603.17
EOD/AMZN,2016-04-11 00:00:00.000,596.14,594.91,604,595.93
EOD/AMZN,2016-04-08 00:00:00.000,594.32,589,597.86,594.6
EOD/AMZN,2016-04-07 00:00:00.000,598.76,589.08,599.6,591.43
EOD/AMZN,2016-04-06 00:00:00.000,587.52,587.5,602.39,602.08
EOD/AMZN,2016-04-05 00:00:00.000,590.77,585.25,593.47,586.14
EOD/AMZN,2016-04-04 00:00:00.000,599,590.55,599.5,593.19
EOD/AMZN,2016-04-01 00:00:00.000,590.49,588.3,599.03,598.5
EOD/AMZN,2016-03-31 00:00:00.000,599.28,592.21,600.75,593.64
EOD/AMZN,2016-03-30 00:00:00.000,596.71,595,603.24,598.69
EOD/AMZN,2016-03-29 00:00:00.000,580.15,576.5,595.85,593.86
EOD/AMZN,2016-03-28 00:00:00.000,584.4,575.56,584.75,579.87
EOD/AMZN,2016-03-24 00:00:00.000,567.11,567.08,583.55,582.95
EOD/AMZN,2016-03-23 00:00:00.000,561,558.1,572.48,569.63
EOD/AMZN,2016-03-22 00:00:00.000,545.11,545.05,562.76,560.48
EOD/AMZN,2016-03-21 00:00:00.000,548.91,538.58,555.24,553.98
EOD/AMZN,2016-03-18 00:00:00.000,560.94,546.09,562.33,552.08
EOD/AMZN,2016-03-17 00:00:00.000,569.51,555.01,571.4,559.44
EOD/AMZN,2016-03-16 00:00:00.000,576.64,571.14,581.32,574.27
EOD/AMZN,2016-03-15 00:00:00.000,571,567,581.52,577.02
EOD/AMZN,2016-03-14 00:00:00.000,567,563.05,576.89,573.37
EOD/AMZN,2016-03-11 00:00:00.000,566.95,562.73,570.06,569.61
EOD/AMZN,2016-03-10 00:00:00.000,566.74,547.9,567,558.93
EOD/AMZN,2016-03-09 00:00:00.000,559.56,550.125,560.35,559.47
EOD/AMZN,2016-03-08 00:00:00.000,557.87,554.74,571.35,560.26
EOD/AMZN,2016-03-07 00:00:00.000,573.54,555.55,573.63,562.8
EOD/AMZN,2016-03-04 00:00:00.000,581.07,571.065,581.4,575.14
EOD/AMZN,2016-03-03 00:00:00.000,577.96,573.11,579.866,577.49
EOD/AMZN,2016-03-02 00:00:00.000,581.75,573.7,585,580.21
EOD/AMZN,2016-03-01 00:00:00.000,556.29,556,579.25,579.04
EOD/AMZN,2016-02-29 00:00:00.000,554,552.51,564.81,552.52
EOD/AMZN,2016-02-26 00:00:00.000,560.12,553.17,562.5,555.23
EOD/AMZN,2016-02-25 00:00:00.000,555.52,545.2946,559.39,555.15
EOD/AMZN,2016-02-24 00:00:00.000,545.75,533.1501,554.27,554.04
EOD/AMZN,2016-02-23 00:00:00.000,555.55,545.33,556.91,552.94
EOD/AMZN,2016-02-22 00:00:00.000,542.2,541.08,560.65,559.5
EOD/AMZN,2016-02-19 00:00:00.000,520.71,515.35,535.95,534.9
EOD/AMZN,2016-02-18 00:00:00.000,541.19,523.73,541.2,525
EOD/AMZN,2016-02-17 00:00:00.000,528.74,519.39,537.48,534.1
EOD/AMZN,2016-02-16 00:00:00.000,519.48,511.66,524.45,521.1
EOD/AMZN,2016-02-12 00:00:00.000,510.7,501.4932,516.75,507.08
EOD/AMZN,2016-02-11 00:00:00.000,491.17,484,509.3,503.82
EOD/AMZN,2016-02-10 00:00:00.000,491.76,486,504.66,490.48
EOD/AMZN,2016-02-09 00:00:00.000,478.01,474,498.38,482.07
EOD/AMZN,2016-02-08 00:00:00.000,486.47,475.21,493.5,488.1
EOD/AMZN,2016-02-05 00:00:00.000,529.28,499.19,529.45,502.13
EOD/AMZN,2016-02-04 00:00:00.000,525,519.2201,538.99,536.26
EOD/AMZN,2016-02-03 00:00:00.000,553.5,521.9,556,531.07
EOD/AMZN,2016-02-02 00:00:00.000,570,550.09,571.56,552.1
EOD/AMZN,2016-02-01 00:00:00.000,578.15,570.31,581.8,574.81
EOD/AMZN,2016-01-29 00:00:00.000,571.98,570,593,587
EOD/AMZN,2016-01-28 00:00:00.000,608.37,597.55,638.06,635.35
EOD/AMZN,2016-01-27 00:00:00.000,601.99,578.78,603.39,583.35
EOD/AMZN,2016-01-26 00:00:00.000,603.45,590.38,604.5,601.25
EOD/AMZN,2016-01-25 00:00:00.000,597.99,594.56,608.5,596.53
EOD/AMZN,2016-01-22 00:00:00.000,588.73,584.1079,600.1,596.38
EOD/AMZN,2016-01-21 00:00:00.000,573.58,568.22,588.81,575.02
EOD/AMZN,2016-01-20 00:00:00.000,564.36,547.18,578.45,571.77
EOD/AMZN,2016-01-19 00:00:00.000,577.09,566.45,584,574.48
EOD/AMZN,2016-01-15 00:00:00.000,572.24,565.3,584.62,570.18
EOD/AMZN,2016-01-14 00:00:00.000,580.25,569.88,602.25,593
EOD/AMZN,2016-01-13 00:00:00.000,620.88,579.16,620.88,581.81
EOD/AMZN,2016-01-12 00:00:00.000,625.25,612.2415,625.99,617.89
EOD/AMZN,2016-01-11 00:00:00.000,612.48,598.57,619.85,617.74
EOD/AMZN,2016-01-08 00:00:00.000,619.66,606,624.14,607.05
EOD/AMZN,2016-01-07 00:00:00.000,621.8,605.21,630,607.94
EOD/AMZN,2016-01-06 00:00:00.000,622,620.31,639.79,632.65
EOD/AMZN,2016-01-05 00:00:00.000,646.86,627.65,646.91,633.79
EOD/AMZN,2016-01-04 00:00:00.000,656.29,627.51,657.715,636.99
EOD/AMZN,2015-12-31 00:00:00.000,686.08,675.89,687.75,675.89
EOD/AMZN,2015-12-30 00:00:00.000,691.89,686.375,695.49,689.07
EOD/AMZN,2015-12-29 00:00:00.000,677.98,677.8893,696.44,693.97
EOD/AMZN,2015-12-28 00:00:00.000,665.56,665.5,675.5,675.2
EOD/AMZN,2015-12-24 00:00:00.000,663.35,660.6,664.68,662.79
EOD/AMZN,2015-12-23 00:00:00.000,666.5,656.63,666.597,663.7
EOD/AMZN,2015-12-22 00:00:00.000,666.83,659.26,668.49,663.15
EOD/AMZN,2015-12-21 00:00:00.000,668.5,658.93,669.9,664.51
EOD/AMZN,2015-12-18 00:00:00.000,668.65,664.13,676.84,664.14
EOD/AMZN,2015-12-17 00:00:00.000,680,670.65,682.5,670.65
EOD/AMZN,2015-12-16 00:00:00.000,663.56,659.32,677.35,675.77
EOD/AMZN,2015-12-15 00:00:00.000,665.03,657.35,671.5,658.64
EOD/AMZN,2015-12-14 00:00:00.000,641.75,635.27,658.585,657.91
EOD/AMZN,2015-12-11 00:00:00.000,651.23,639.62,657.88,640.15
EOD/AMZN,2015-12-10 00:00:00.000,665.59,659.56,668.526,662.32
EOD/AMZN,2015-12-09 00:00:00.000,678,655.68,679,664.79
EOD/AMZN,2015-12-08 00:00:00.000,663.13,659.79,679.99,677.33
EOD/AMZN,2015-12-07 00:00:00.000,674.74,660.5,675.46,669.83
EOD/AMZN,2015-12-04 00:00:00.000,666,661.4,674.775,672.64
EOD/AMZN,2015-12-03 00:00:00.000,679.44,661.48,682.79,666.25
EOD/AMZN,2015-12-02 00:00:00.000,681,674.25,684.82,676.01
EOD/AMZN,2015-12-01 00:00:00.000,673.75,667.86,681,679.06
EOD/AMZN,2015-11-30 00:00:00.000,675.9,664.6,681.29,664.8
EOD/AMZN,2015-11-27 00:00:00.000,680.8,672.1,680.99,673.26
EOD/AMZN,2015-11-25 00:00:00.000,675,671.24,679.7,675.34
EOD/AMZN,2015-11-24 00:00:00.000,674.14,661.2125,675.8,671.15
EOD/AMZN,2015-11-23 00:00:00.000,671.5,668.45,682.77,678.99
EOD/AMZN,2015-11-20 00:00:00.000,667.94,657.57,668.87,668.45
EOD/AMZN,2015-11-19 00:00:00.000,664.99,659,672.86,661.27
EOD/AMZN,2015-11-18 00:00:00.000,646.51,646.37,664.88,663.54
EOD/AMZN,2015-11-17 00:00:00.000,650.65,641,653.25,643.3
EOD/AMZN,2015-11-16 00:00:00.000,640.92,622.29,649.99,647.81
EOD/AMZN,2015-11-13 00:00:00.000,663.57,640.45,667,642.35
EOD/AMZN,2015-11-12 00:00:00.000,673,664.22,675.64,665.6
EOD/AMZN,2015-11-11 00:00:00.000,663.25,663.25,675.96,673.25
EOD/AMZN,2015-11-10 00:00:00.000,651.01,647.262,660,659.68
EOD/AMZN,2015-11-09 00:00:00.000,658.65,647.8477,661.955,655.49
EOD/AMZN,2015-11-06 00:00:00.000,655,652,662.26,659.37
EOD/AMZN,2015-11-05 00:00:00.000,647.1,643.0901,657,655.65
EOD/AMZN,2015-11-04 00:00:00.000,627.76,627.35,645.93,640.95
EOD/AMZN,2015-11-03 00:00:00.000,629.53,622,629.89,625.31
EOD/AMZN,2015-11-02 00:00:00.000,627.13,620.41,628.63,628.35
EOD/AMZN,2015-10-30 00:00:00.000,626.01,625.28,630.72,625.9
EOD/AMZN,2015-10-29 00:00:00.000,617.7,615.39,627.54,626.55
EOD/AMZN,2015-10-28 00:00:00.000,612.3,609.5,617.23,617.1
EOD/AMZN,2015-10-27 00:00:00.000,608.6,605.53,614.71,611.01
