Symbol,Interim_Buffer_Date,Interim_Open,Interim_Low,Interim_High,Interim_Close
EOD/AXP,2016-08-19 00:00:00.000,65.47,65.07,65.675,65.53
EOD/AXP,2016-08-18 00:00:00.000,65.52,65.2725,65.78,65.63
EOD/AXP,2016-08-17 00:00:00.000,65.4,65.09,65.85,65.68
EOD/AXP,2016-08-16 00:00:00.000,65.61,65.28,65.67,65.3
EOD/AXP,2016-08-15 00:00:00.000,65.27,65.27,65.82,65.63
EOD/AXP,2016-08-12 00:00:00.000,65.16,65.0101,65.51,65.38
EOD/AXP,2016-08-11 00:00:00.000,65,64.89,65.66,65.48
EOD/AXP,2016-08-10 00:00:00.000,65.43,64.58,65.5,64.74
EOD/AXP,2016-08-09 00:00:00.000,65.83,65.17,66.01,65.39
EOD/AXP,2016-08-08 00:00:00.000,65.83,65.605,66.25,65.83
EOD/AXP,2016-08-05 00:00:00.000,64.54,64.35,65.71,65.52
EOD/AXP,2016-08-04 00:00:00.000,63.88,63.51,64.02,63.94
EOD/AXP,2016-08-03 00:00:00.000,63.5,63.47,64.02,63.83
EOD/AXP,2016-08-02 00:00:00.000,63.96,63.2,64.22,63.47
EOD/AXP,2016-08-01 00:00:00.000,64.49,63.96,64.735,64.13
EOD/AXP,2016-07-29 00:00:00.000,64.7,64.17,64.74,64.46
EOD/AXP,2016-07-28 00:00:00.000,64.36,64.06,64.97,64.79
EOD/AXP,2016-07-27 00:00:00.000,64.27,64.205,64.94,64.59
EOD/AXP,2016-07-26 00:00:00.000,64.43,63.98,64.55,64.37
EOD/AXP,2016-07-25 00:00:00.000,64.2,64.04,64.42,64.33
EOD/AXP,2016-07-22 00:00:00.000,63.4,63.37,64.34,64.28
EOD/AXP,2016-07-21 00:00:00.000,63.8,62.88,64.38,63.43
EOD/AXP,2016-07-20 00:00:00.000,64.29,63.5,64.8,64.48
EOD/AXP,2016-07-19 00:00:00.000,63.69,63.5,64.17,64.16
EOD/AXP,2016-07-18 00:00:00.000,63.96,63.54,64.12,63.99
EOD/AXP,2016-07-15 00:00:00.000,63.95,63.31,64.11,63.78
EOD/AXP,2016-07-14 00:00:00.000,63.66,63.4079,64,63.61
EOD/AXP,2016-07-13 00:00:00.000,62.98,62.64,63.35,63.1
EOD/AXP,2016-07-12 00:00:00.000,62.63,62.63,63.33,63
EOD/AXP,2016-07-11 00:00:00.000,61.95,61.86,62.46,62.16
EOD/AXP,2016-07-08 00:00:00.000,60.68,60.55,61.6,61.49
EOD/AXP,2016-07-07 00:00:00.000,59.48,59.38,60.3299,59.81
EOD/AXP,2016-07-06 00:00:00.000,58.75,58.25,59.73,59.48
EOD/AXP,2016-07-05 00:00:00.000,60.22,58.96,60.39,59.15
EOD/AXP,2016-07-01 00:00:00.000,60.8,60.57,61.52,60.69
EOD/AXP,2016-06-30 00:00:00.000,59.87,58.82,60.76,60.76
EOD/AXP,2016-06-29 00:00:00.000,57.95,57.86,59.7,59.63
EOD/AXP,2016-06-28 00:00:00.000,58.25,57.15,58.61,57.9
EOD/AXP,2016-06-27 00:00:00.000,59.34,57.33,59.34,57.67
EOD/AXP,2016-06-24 00:00:00.000,60.48,60,61.7,60.06
EOD/AXP,2016-06-23 00:00:00.000,62.84,62.47,63.27,63.25
EOD/AXP,2016-06-22 00:00:00.000,62.29,61.88,62.64,61.95
EOD/AXP,2016-06-21 00:00:00.000,62.3,61.75,62.48,62.29
EOD/AXP,2016-06-20 00:00:00.000,62.65,62.23,63.41,62.3
EOD/AXP,2016-06-17 00:00:00.000,61.93,61.615,62.43,61.86
EOD/AXP,2016-06-16 00:00:00.000,60.94,60.66,62.11,61.93
EOD/AXP,2016-06-15 00:00:00.000,61.47,60.86,62.1599,61.42
EOD/AXP,2016-06-14 00:00:00.000,63.59,60.38,63.66,61.07
EOD/AXP,2016-06-13 00:00:00.000,64.8,63.63,64.89,63.67
EOD/AXP,2016-06-10 00:00:00.000,65.26,64.71,65.48,64.97
EOD/AXP,2016-06-09 00:00:00.000,65.72,64.9,65.78,65.71
