Symbol,Interim_Buffer_Date,Interim_Open,Interim_Low,Interim_High,Interim_Close
EOD/ORCL,2016-08-19 00:00:00.000,41.04,41.005,41.34,41.32
EOD/ORCL,2016-08-18 00:00:00.000,40.95,40.95,41.33,41.14
EOD/ORCL,2016-08-17 00:00:00.000,41.38,41.07,41.38,41.21
EOD/ORCL,2016-08-16 00:00:00.000,41.3,41.24,41.445,41.32
EOD/ORCL,2016-08-15 00:00:00.000,41,41,41.64,41.39
EOD/ORCL,2016-08-12 00:00:00.000,41.13,41,41.2,41.09
EOD/ORCL,2016-08-11 00:00:00.000,41.13,41.13,41.41,41.28
EOD/ORCL,2016-08-10 00:00:00.000,41.13,40.86,41.25,41.09
EOD/ORCL,2016-08-09 00:00:00.000,41.09,41.05,41.27,41.1
EOD/ORCL,2016-08-08 00:00:00.000,41.18,41.12,41.4,41.16
EOD/ORCL,2016-08-05 00:00:00.000,41.07,40.96,41.22,41.13
EOD/ORCL,2016-08-04 00:00:00.000,40.61,40.61,40.95,40.9
EOD/ORCL,2016-08-03 00:00:00.000,40.62,40.595,40.85,40.71
EOD/ORCL,2016-08-02 00:00:00.000,41.12,40.58,41.12,40.71
EOD/ORCL,2016-08-01 00:00:00.000,40.91,40.91,41.27,41.15
EOD/ORCL,2016-07-29 00:00:00.000,41.32,40.92,41.38,41.04
EOD/ORCL,2016-07-28 00:00:00.000,41.35,40.72,41.4,41.19
EOD/ORCL,2016-07-27 00:00:00.000,41.03,40.75,41.105,40.93
EOD/ORCL,2016-07-26 00:00:00.000,41.06,40.81,41.24,40.94
EOD/ORCL,2016-07-25 00:00:00.000,40.91,40.89,41.16,41.16
EOD/ORCL,2016-07-22 00:00:00.000,41.12,40.945,41.21,41.08
EOD/ORCL,2016-07-21 00:00:00.000,41.34,40.94,41.51,41.07
EOD/ORCL,2016-07-20 00:00:00.000,41.48,41.25,41.5,41.25
EOD/ORCL,2016-07-19 00:00:00.000,41.3,41.01,41.45,41.08
EOD/ORCL,2016-07-18 00:00:00.000,41.71,41.58,41.835,41.64
EOD/ORCL,2016-07-15 00:00:00.000,41.91,41.46,41.91,41.77
EOD/ORCL,2016-07-14 00:00:00.000,41.57,41.5,41.87,41.67
EOD/ORCL,2016-07-13 00:00:00.000,41.56,41.2475,41.65,41.46
EOD/ORCL,2016-07-12 00:00:00.000,41.23,41.055,41.58,41.42
EOD/ORCL,2016-07-11 00:00:00.000,40.9,40.75,41.14,40.78
EOD/ORCL,2016-07-08 00:00:00.000,40.88,40.74,41.18,40.87
EOD/ORCL,2016-07-07 00:00:00.000,40.65,40.42,40.83,40.53
EOD/ORCL,2016-07-06 00:00:00.000,40.2,40.02,40.57,40.53
EOD/ORCL,2016-07-05 00:00:00.000,40.33,40.15,40.58,40.4
EOD/ORCL,2016-07-01 00:00:00.000,40.7,40.69,41.05,40.86
EOD/ORCL,2016-06-30 00:00:00.000,40.48,40.47,41.155,40.93
EOD/ORCL,2016-06-29 00:00:00.000,39.76,39.49,40.7,40.55
EOD/ORCL,2016-06-28 00:00:00.000,38.72,38.58,39.19,39.13
EOD/ORCL,2016-06-27 00:00:00.000,38.87,38.18,38.88,38.48
EOD/ORCL,2016-06-24 00:00:00.000,39.38,39.02,39.89,39.23
EOD/ORCL,2016-06-23 00:00:00.000,40.4,40.26,40.87,40.83
EOD/ORCL,2016-06-22 00:00:00.000,40.15,39.87,40.34,40.01
EOD/ORCL,2016-06-21 00:00:00.000,39.93,39.7475,40.12,39.99
EOD/ORCL,2016-06-20 00:00:00.000,39.9,39.7,40.35,39.73
EOD/ORCL,2016-06-17 00:00:00.000,39.49,38.92,39.96,39.68
EOD/ORCL,2016-06-16 00:00:00.000,38.36,38.08,38.7999,38.64
EOD/ORCL,2016-06-15 00:00:00.000,38.8,38.41,38.92,38.44
EOD/ORCL,2016-06-14 00:00:00.000,38.63,38.57,38.98,38.83
EOD/ORCL,2016-06-13 00:00:00.000,38.5,38.38,38.89,38.62
EOD/ORCL,2016-06-10 00:00:00.000,38.78,38.61,38.99,38.74
EOD/ORCL,2016-06-09 00:00:00.000,39.19,38.75,39.21,39.05
EOD/ORCL,2016-06-08 00:00:00.000,39.16,38.9,39.34,39.28
EOD/ORCL,2016-06-07 00:00:00.000,39.55,39.05,39.745,39.13
EOD/ORCL,2016-06-06 00:00:00.000,39.19,39.12,39.64,39.44
EOD/ORCL,2016-06-03 00:00:00.000,38.74,38.69,39.21,39.1
