Symbol,Interim_Buffer_Date,Interim_Open,Interim_Low,Interim_High,Interim_Close
EOD/DIS,2016-08-19 00:00:00.000,96.4,96.05,96.79,96.39
EOD/DIS,2016-08-18 00:00:00.000,96.87,96.55,97.12,96.65
EOD/DIS,2016-08-17 00:00:00.000,96.84,96.52,96.97,96.87
EOD/DIS,2016-08-16 00:00:00.000,96.86,96.2681,97.25,96.88
EOD/DIS,2016-08-15 00:00:00.000,97.35,96.92,97.61,97.1
EOD/DIS,2016-08-12 00:00:00.000,97.82,96.66,97.82,96.84
EOD/DIS,2016-08-11 00:00:00.000,98.2,97.15,98.39,97.77
EOD/DIS,2016-08-10 00:00:00.000,96.7,95.85,99.27,97.86
EOD/DIS,2016-08-09 00:00:00.000,95.61,95.3,96.85,96.67
EOD/DIS,2016-08-08 00:00:00.000,96.11,95.58,96.29,95.75
EOD/DIS,2016-08-05 00:00:00.000,95.4,95.35,96,95.83
EOD/DIS,2016-08-04 00:00:00.000,95.53,94.71,95.98,95.16
EOD/DIS,2016-08-03 00:00:00.000,95.06,95,96.425,96.09
EOD/DIS,2016-08-02 00:00:00.000,95.35,94.56,95.75,95.01
EOD/DIS,2016-08-01 00:00:00.000,96.15,95.08,96.2,95.54
EOD/DIS,2016-07-29 00:00:00.000,95.85,95.85,96.38,95.95
EOD/DIS,2016-07-28 00:00:00.000,96.4,95.82,96.49,95.91
EOD/DIS,2016-07-27 00:00:00.000,96.7,95.86,96.93,96.33
EOD/DIS,2016-07-26 00:00:00.000,97.02,96.34,97.16,96.69
EOD/DIS,2016-07-25 00:00:00.000,97.9,97.2535,98.06,97.39
EOD/DIS,2016-07-22 00:00:00.000,98.39,97.47,98.42,97.71
EOD/DIS,2016-07-21 00:00:00.000,98.17,97.62,99.125,98.01
EOD/DIS,2016-07-20 00:00:00.000,98.65,97.14,98.69,98.22
EOD/DIS,2016-07-19 00:00:00.000,99.81,99.361,99.99,99.47
EOD/DIS,2016-07-18 00:00:00.000,99.9,99.87,100.709,100.15
EOD/DIS,2016-07-15 00:00:00.000,100.42,99.54,100.54,99.8
EOD/DIS,2016-07-14 00:00:00.000,100.42,99.68,100.8,99.97
EOD/DIS,2016-07-13 00:00:00.000,100.46,99.85,100.8,99.88
EOD/DIS,2016-07-12 00:00:00.000,100.175,100,100.79,100.2
EOD/DIS,2016-07-11 00:00:00.000,99.8,99.4,100.35,99.98
EOD/DIS,2016-07-08 00:00:00.000,99.25,98.77,99.85,99.62
EOD/DIS,2016-07-07 00:00:00.000,97.63,97.58,98.48,98.41
EOD/DIS,2016-07-06 00:00:00.000,97,96.76,98.52,98.45
EOD/DIS,2016-07-05 00:00:00.000,97.77,97.165,98,97.66
EOD/DIS,2016-07-01 00:00:00.000,97.75,97.71,98.64,98.03
EOD/DIS,2016-06-30 00:00:00.000,97.1,96.88,98.07,97.82
EOD/DIS,2016-06-29 00:00:00.000,96.91,96.28,97.29,96.98
EOD/DIS,2016-06-28 00:00:00.000,95.46,95.14,96.28,96.05
EOD/DIS,2016-06-27 00:00:00.000,94.91,94,95.23,94.38
EOD/DIS,2016-06-24 00:00:00.000,96.01,95.14,97.28,95.72
EOD/DIS,2016-06-23 00:00:00.000,99.44,98.61,99.62,99.02
EOD/DIS,2016-06-22 00:00:00.000,99.08,98.7,99.62,98.79
EOD/DIS,2016-06-21 00:00:00.000,99.73,98.77,99.79,98.82
EOD/DIS,2016-06-20 00:00:00.000,100.08,99.5,100.96,99.57
EOD/DIS,2016-06-17 00:00:00.000,98.41,98.27,99.1401,99
EOD/DIS,2016-06-16 00:00:00.000,97.8,96.86,98.63,98.38
EOD/DIS,2016-06-15 00:00:00.000,98.19,98.19,99,98.27
EOD/DIS,2016-06-14 00:00:00.000,97.2,97.175,98.55,98.4
EOD/DIS,2016-06-13 00:00:00.000,96.75,96.7,98.98,97.57
EOD/DIS,2016-06-10 00:00:00.000,97.15,96.78,97.71,97.34
EOD/DIS,2016-06-09 00:00:00.000,97.82,97.1,97.926,97.84
EOD/DIS,2016-06-08 00:00:00.000,98.49,97.7,98.8202,98.04
EOD/DIS,2016-06-07 00:00:00.000,99,98.32,99.04,98.35
EOD/DIS,2016-06-06 00:00:00.000,98.96,98.465,99.12,98.78
EOD/DIS,2016-06-03 00:00:00.000,98.66,97.73,98.92,98.75
EOD/DIS,2016-06-02 00:00:00.000,98.07,97.87,98.72,98.72
EOD/DIS,2016-06-01 00:00:00.000,98.67,97.73,98.99,98.52
EOD/DIS,2016-05-31 00:00:00.000,99.85,98.57,99.89,99.22
EOD/DIS,2016-05-27 00:00:00.000,99.81,99.81,100.53,100.29
EOD/DIS,2016-05-26 00:00:00.000,99.89,99.57,100.49,99.81
EOD/DIS,2016-05-25 00:00:00.000,99.92,99.81,100.8,99.86
EOD/DIS,2016-05-24 00:00:00.000,99.45,99.38,100.04,99.51
EOD/DIS,2016-05-23 00:00:00.000,99.6,99.12,100.33,99.18
EOD/DIS,2016-05-20 00:00:00.000,99,98.77,99.93,99.78
EOD/DIS,2016-05-19 00:00:00.000,98.58,97.51,98.61,98.41
EOD/DIS,2016-05-18 00:00:00.000,99.59,98.36,99.77,99
EOD/DIS,2016-05-17 00:00:00.000,100.79,99.55,101.29,99.94
EOD/DIS,2016-05-16 00:00:00.000,100.41,99.37,100.67,100.36
EOD/DIS,2016-05-13 00:00:00.000,101.71,100.36,102.04,100.52
EOD/DIS,2016-05-12 00:00:00.000,102.5,101.125,102.85,101.71
EOD/DIS,2016-05-11 00:00:00.000,101.46,100.62,102.5,102.29
EOD/DIS,2016-05-10 00:00:00.000,105.53,105.45,106.75,106.6
EOD/DIS,2016-05-09 00:00:00.000,106.01,104.97,106.68,105.34
EOD/DIS,2016-05-06 00:00:00.000,104.51,104.39,105.74,105.54
EOD/DIS,2016-05-05 00:00:00.000,103.98,103.45,105.125,104.93
EOD/DIS,2016-05-04 00:00:00.000,103.31,103.2,104.48,103.67
EOD/DIS,2016-05-03 00:00:00.000,103.88,103.19,103.99,103.78
EOD/DIS,2016-05-02 00:00:00.000,103.3,102.8,104.57,104.36
EOD/DIS,2016-04-29 00:00:00.000,103.95,102.4,104.21,103.26
EOD/DIS,2016-04-28 00:00:00.000,104.54,103.8,105.49,104.03
EOD/DIS,2016-04-27 00:00:00.000,105.19,104.76,105.6,105.28
EOD/DIS,2016-04-26 00:00:00.000,104.58,104.18,105.57,104.89
EOD/DIS,2016-04-25 00:00:00.000,103.5,103.35,104.62,104.57
EOD/DIS,2016-04-22 00:00:00.000,103.06,102.93,103.99,103.77
EOD/DIS,2016-04-21 00:00:00.000,103.36,102.65,104.12,102.91
EOD/DIS,2016-04-20 00:00:00.000,103.02,101.96,103.48,103.27
EOD/DIS,2016-04-19 00:00:00.000,102,101.925,103.64,102.64
EOD/DIS,2016-04-18 00:00:00.000,99.6,99.5,101.95,101.48
EOD/DIS,2016-04-15 00:00:00.000,98.5,98.18,98.8899,98.59
