Symbol,Interim_Buffer_Date,Interim_Open,Interim_Low,Interim_High,Interim_Close
EOD/FDX,2016-08-19 00:00:00.000,166.79,166.64,169.44,168.63
EOD/FDX,2016-08-18 00:00:00.000,166.61,166.2,167.66,167.19
EOD/FDX,2016-08-17 00:00:00.000,166.99,165.83,167.18,166.45
EOD/FDX,2016-08-16 00:00:00.000,165.9,165.59,167.125,166.73
EOD/FDX,2016-08-15 00:00:00.000,165.7,165.7,167,166.4
EOD/FDX,2016-08-12 00:00:00.000,165.12,164.654,166,165.5
EOD/FDX,2016-08-11 00:00:00.000,164.94,164.41,166.17,165.79
EOD/FDX,2016-08-10 00:00:00.000,163.88,163.765,164.85,164.65
EOD/FDX,2016-08-09 00:00:00.000,163.51,163.15,165.33,164.33
EOD/FDX,2016-08-08 00:00:00.000,163.34,163.12,165.435,163.7
EOD/FDX,2016-08-05 00:00:00.000,160.62,160.22,162.96,162.91
EOD/FDX,2016-08-04 00:00:00.000,160.74,158.85,160.84,159.82
EOD/FDX,2016-08-03 00:00:00.000,159.4,159.35,160.8,160.61
EOD/FDX,2016-08-02 00:00:00.000,161,158.62,161.83,159.18
EOD/FDX,2016-08-01 00:00:00.000,162,161.07,162.88,161.66
EOD/FDX,2016-07-29 00:00:00.000,160.62,159.35,162.21,161.9
EOD/FDX,2016-07-28 00:00:00.000,160.2,159.41,161.77,161.45
EOD/FDX,2016-07-27 00:00:00.000,161.35,160,161.99,160.91
EOD/FDX,2016-07-26 00:00:00.000,160.48,160.16,161.82,161.5
EOD/FDX,2016-07-25 00:00:00.000,160.29,159.41,160.81,160.23
EOD/FDX,2016-07-22 00:00:00.000,158.05,158.05,160.82,160.77
EOD/FDX,2016-07-21 00:00:00.000,159.51,158.03,160.52,158.41
EOD/FDX,2016-07-20 00:00:00.000,160.09,159.071,161.01,160.07
EOD/FDX,2016-07-19 00:00:00.000,159.95,159.26,160.74,159.68
EOD/FDX,2016-07-18 00:00:00.000,160.76,159.63,161.17,160.76
EOD/FDX,2016-07-15 00:00:00.000,162.17,160.4017,162.23,160.59
EOD/FDX,2016-07-14 00:00:00.000,161.79,161.44,163.64,161.5
EOD/FDX,2016-07-13 00:00:00.000,160.13,159.36,161.25,160.42
EOD/FDX,2016-07-12 00:00:00.000,157.8,157.41,160.15,159.95
EOD/FDX,2016-07-11 00:00:00.000,157.11,156.42,158.62,157.11
EOD/FDX,2016-07-08 00:00:00.000,154,153.95,156.88,156.22
EOD/FDX,2016-07-07 00:00:00.000,151.94,151.32,153.49,152.6
EOD/FDX,2016-07-06 00:00:00.000,151.59,150,152.1,151.45
EOD/FDX,2016-07-05 00:00:00.000,152.47,150.35,153.063,152.17
EOD/FDX,2016-07-01 00:00:00.000,154.47,153.075,155.94,153.84
EOD/FDX,2016-06-30 00:00:00.000,150.26,149.01,151.8,151.78
EOD/FDX,2016-06-29 00:00:00.000,149.73,148.85,150.57,150.26
EOD/FDX,2016-06-28 00:00:00.000,148.52,146.19,149.24,148.1
EOD/FDX,2016-06-27 00:00:00.000,149.1,145,149.41,146.13
EOD/FDX,2016-06-24 00:00:00.000,151.95,149.5,154.065,150.57
EOD/FDX,2016-06-23 00:00:00.000,157.5,156.75,158.66,157.89
EOD/FDX,2016-06-22 00:00:00.000,162.07,156.4,162.4685,156.51
EOD/FDX,2016-06-21 00:00:00.000,164.55,163.21,164.78,163.95
EOD/FDX,2016-06-20 00:00:00.000,164.28,163.2408,166.5,164.47
EOD/FDX,2016-06-17 00:00:00.000,161.91,161.27,162.74,162.25
EOD/FDX,2016-06-16 00:00:00.000,158.95,157.51,162.285,161.87
EOD/FDX,2016-06-15 00:00:00.000,160.03,159.51,161.33,159.66
EOD/FDX,2016-06-14 00:00:00.000,160.2,158.4694,161.45,159.75
EOD/FDX,2016-06-13 00:00:00.000,160.32,160.3,161.97,160.43
EOD/FDX,2016-06-10 00:00:00.000,162.76,160.32,163.285,160.87
EOD/FDX,2016-06-09 00:00:00.000,163.64,162.88,164.43,164.11
EOD/FDX,2016-06-08 00:00:00.000,164.75,164.49,165.9,164.75
EOD/FDX,2016-06-07 00:00:00.000,164.58,163.81,165.32,164.83
EOD/FDX,2016-06-06 00:00:00.000,163.18,161.66,163.98,163.27
EOD/FDX,2016-06-03 00:00:00.000,162.36,161,164.056,163.82
EOD/FDX,2016-06-02 00:00:00.000,164.64,163.7,165.1,164.8
EOD/FDX,2016-06-01 00:00:00.000,163.9,162.37,164.81,164.7
EOD/FDX,2016-05-31 00:00:00.000,165.43,164.48,167,164.97
EOD/FDX,2016-05-27 00:00:00.000,163.64,163.18,164.54,164.47
EOD/FDX,2016-05-26 00:00:00.000,164.21,162.82,164.48,163.4
EOD/FDX,2016-05-25 00:00:00.000,165,164.03,165.97,164.22
EOD/FDX,2016-05-24 00:00:00.000,162.97,161.99,164.98,164.38
EOD/FDX,2016-05-23 00:00:00.000,161.65,161.1,162.78,162.04
EOD/FDX,2016-05-20 00:00:00.000,160.34,159.53,162.46,161.63
EOD/FDX,2016-05-19 00:00:00.000,158.46,157.835,160.22,159.11
EOD/FDX,2016-05-18 00:00:00.000,158,158,160.63,159.49
EOD/FDX,2016-05-17 00:00:00.000,158.57,157.85,160.68,158.69
EOD/FDX,2016-05-16 00:00:00.000,157.56,156.91,159.21,158.59
EOD/FDX,2016-05-13 00:00:00.000,158.58,156.92,159.39,157.76
EOD/FDX,2016-05-12 00:00:00.000,162.4,158.22,162.46,159.37
EOD/FDX,2016-05-11 00:00:00.000,163,160.86,163.95,161.29
EOD/FDX,2016-05-10 00:00:00.000,162.42,161.9,163.94,163.25
EOD/FDX,2016-05-09 00:00:00.000,161.4,161.14,162.9,162.29
EOD/FDX,2016-05-06 00:00:00.000,160.45,157.69,161.54,161.03
EOD/FDX,2016-05-05 00:00:00.000,165.42,160.075,166,160.37
EOD/FDX,2016-05-04 00:00:00.000,165.61,164.53,167.1,165.25
EOD/FDX,2016-05-03 00:00:00.000,165.76,163.17,166.22,164.79
EOD/FDX,2016-05-02 00:00:00.000,165.6,165.5,168.1799,167.59
EOD/FDX,2016-04-29 00:00:00.000,164.85,163.7415,165.59,165.11
EOD/FDX,2016-04-28 00:00:00.000,166.89,165.46,168.16,165.66
EOD/FDX,2016-04-27 00:00:00.000,167.07,166.22,168.2,167.56
EOD/FDX,2016-04-26 00:00:00.000,165.82,165.41,167.6,167.11
EOD/FDX,2016-04-25 00:00:00.000,165.66,164.025,167.23,165.56
EOD/FDX,2016-04-22 00:00:00.000,166.28,165.06,166.93,166.32
EOD/FDX,2016-04-21 00:00:00.000,166.72,165.16,167.606,165.57
EOD/FDX,2016-04-20 00:00:00.000,168.38,167.35,168.95,167.4
EOD/FDX,2016-04-19 00:00:00.000,167.8,166.65,169.2999,168.27
EOD/FDX,2016-04-18 00:00:00.000,165.33,164.81,167.375,167.13
EOD/FDX,2016-04-15 00:00:00.000,165.7,164.82,166.417,165.9
EOD/FDX,2016-04-14 00:00:00.000,167.15,165.64,167.55,165.7
EOD/FDX,2016-04-13 00:00:00.000,165.72,165.7,167.45,167.22
EOD/FDX,2016-04-12 00:00:00.000,163.56,163.04,165.78,165.11
EOD/FDX,2016-04-11 00:00:00.000,163.46,163.03,165.1,163.05
EOD/FDX,2016-04-08 00:00:00.000,162.09,161.92,165.49,163.42
EOD/FDX,2016-04-07 00:00:00.000,161.17,160.8,162.55,161.28
EOD/FDX,2016-04-06 00:00:00.000,162,160.73,163.14,162.77
EOD/FDX,2016-04-05 00:00:00.000,162.16,161.65,163.0055,161.94
EOD/FDX,2016-04-04 00:00:00.000,163.88,163.18,165.51,163.8
EOD/FDX,2016-04-01 00:00:00.000,162.31,161.1,163.99,163.67
EOD/FDX,2016-03-31 00:00:00.000,161.55,160.65,162.94,162.72
EOD/FDX,2016-03-30 00:00:00.000,163,161.47,163.47,161.57
EOD/FDX,2016-03-29 00:00:00.000,162.03,160.67,163.0862,162.99
EOD/FDX,2016-03-28 00:00:00.000,162.57,160.385,162.89,162.19
EOD/FDX,2016-03-24 00:00:00.000,161.3,160.54,162.8,162.65
EOD/FDX,2016-03-23 00:00:00.000,163.42,162.3694,163.73,162.63
EOD/FDX,2016-03-22 00:00:00.000,163.55,162.315,163.9018,163.42
EOD/FDX,2016-03-21 00:00:00.000,163.57,162.9,164.84,164.54
EOD/FDX,2016-03-18 00:00:00.000,160.65,160.36,163.88,163.71
EOD/FDX,2016-03-17 00:00:00.000,155.23,154.08,161.7,161.34
EOD/FDX,2016-03-16 00:00:00.000,142.5,141.19,144.75,144.27
EOD/FDX,2016-03-15 00:00:00.000,142.99,141.7,143.32,143.07
EOD/FDX,2016-03-14 00:00:00.000,144.1,143.25,144.99,143.84
EOD/FDX,2016-03-11 00:00:00.000,143.35,142.584,144.58,144.42
EOD/FDX,2016-03-10 00:00:00.000,142.04,139.58,143.25,141.61
EOD/FDX,2016-03-09 00:00:00.000,141.9,139.89,142.53,141.98
EOD/FDX,2016-03-08 00:00:00.000,144,142.39,144.83,142.53
EOD/FDX,2016-03-07 00:00:00.000,143.25,142.255,145.33,145.08
EOD/FDX,2016-03-04 00:00:00.000,143.49,143.49,146.28,143.91
EOD/FDX,2016-03-03 00:00:00.000,141.79,141.55,144.19,143.86
EOD/FDX,2016-03-02 00:00:00.000,140.91,140.85,143.06,142.27
