Symbol,Interim_Buffer_Date,Interim_Open,Interim_Low,Interim_High,Interim_Close
EOD/GE,2016-08-19 00:00:00.000,31.32,31.18,31.4,31.25
EOD/GE,2016-08-18 00:00:00.000,31.25,31.19,31.43,31.43
EOD/GE,2016-08-17 00:00:00.000,31.26,31.18,31.325,31.29
EOD/GE,2016-08-16 00:00:00.000,31.14,31.08,31.29,31.19
EOD/GE,2016-08-15 00:00:00.000,31.3,31.22,31.35,31.24
EOD/GE,2016-08-12 00:00:00.000,31.2,31.175,31.28,31.24
EOD/GE,2016-08-11 00:00:00.000,31.31,31.2,31.37,31.29
EOD/GE,2016-08-10 00:00:00.000,31.25,31.2,31.335,31.27
EOD/GE,2016-08-09 00:00:00.000,31.23,31.15,31.35,31.3
EOD/GE,2016-08-08 00:00:00.000,31.3,31.21,31.395,31.27
EOD/GE,2016-08-05 00:00:00.000,31.27,31.22,31.45,31.28
EOD/GE,2016-08-04 00:00:00.000,31.2,31.09,31.25,31.17
EOD/GE,2016-08-03 00:00:00.000,31.03,31.025,31.24,31.13
EOD/GE,2016-08-02 00:00:00.000,31.11,31,31.16,31.05
EOD/GE,2016-08-01 00:00:00.000,31.12,31.02,31.22,31.15
EOD/GE,2016-07-29 00:00:00.000,31.28,31.111,31.4264,31.14
EOD/GE,2016-07-28 00:00:00.000,31.2,31.08,31.31,31.25
EOD/GE,2016-07-27 00:00:00.000,31.49,31.12,31.56,31.28
EOD/GE,2016-07-26 00:00:00.000,31.67,31.31,31.73,31.47
EOD/GE,2016-07-25 00:00:00.000,32.07,31.38,32.08,31.64
EOD/GE,2016-07-22 00:00:00.000,31.73,31.69,32.07,32.06
EOD/GE,2016-07-21 00:00:00.000,32.73,32.49,32.85,32.59
EOD/GE,2016-07-20 00:00:00.000,32.96,32.7,33,32.78
EOD/GE,2016-07-19 00:00:00.000,32.75,32.72,32.95,32.93
EOD/GE,2016-07-18 00:00:00.000,32.89,32.66,32.94,32.91
EOD/GE,2016-07-15 00:00:00.000,32.76,32.74,32.95,32.88
EOD/GE,2016-07-14 00:00:00.000,32.5,32.49,32.72,32.63
EOD/GE,2016-07-13 00:00:00.000,32.26,32.25,32.48,32.36
EOD/GE,2016-07-12 00:00:00.000,32.31,32.13,32.49,32.26
EOD/GE,2016-07-11 00:00:00.000,32.26,32.18,32.5,32.21
EOD/GE,2016-07-08 00:00:00.000,31.99,31.99,32.27,32.2
EOD/GE,2016-07-07 00:00:00.000,31.81,31.74,32.1,31.82
EOD/GE,2016-07-06 00:00:00.000,31.27,31.265,31.8,31.74
EOD/GE,2016-07-05 00:00:00.000,31.25,31.12,31.53,31.45
EOD/GE,2016-07-01 00:00:00.000,31.33,31.32,31.63,31.49
EOD/GE,2016-06-30 00:00:00.000,30.66,30.65,31.5,31.48
EOD/GE,2016-06-29 00:00:00.000,30.51,30.3,30.62,30.55
EOD/GE,2016-06-28 00:00:00.000,29.81,29.67,30,29.94
EOD/GE,2016-06-27 00:00:00.000,29.54,29.17,29.62,29.32
EOD/GE,2016-06-24 00:00:00.000,30.11,29.75,30.55,29.82
EOD/GE,2016-06-23 00:00:00.000,31.06,30.97,31.21,31.19
EOD/GE,2016-06-22 00:00:00.000,31,30.77,31.1,30.78
EOD/GE,2016-06-21 00:00:00.000,30.88,30.87,31.01,30.94
EOD/GE,2016-06-20 00:00:00.000,30.85,30.83,31.32,30.83
EOD/GE,2016-06-17 00:00:00.000,30.65,30.45,30.72,30.6
EOD/GE,2016-06-16 00:00:00.000,30.14,30.08,30.74,30.64
EOD/GE,2016-06-15 00:00:00.000,30.48,30.47,30.91,30.59
