Symbol,Interim_Buffer_Date,Interim_Open,Interim_Low,Interim_High,Interim_Close
EOD/GM,2016-08-19 00:00:00.000,31.48,31.4,31.89,31.83
EOD/GM,2016-08-18 00:00:00.000,31.8,31.48,31.86,31.55
EOD/GM,2016-08-17 00:00:00.000,31.71,31.55,31.88,31.85
EOD/GM,2016-08-16 00:00:00.000,31.81,31.61,31.85,31.71
EOD/GM,2016-08-15 00:00:00.000,31.59,31.55,31.89,31.86
EOD/GM,2016-08-12 00:00:00.000,31.6,31.5499,31.75,31.57
EOD/GM,2016-08-11 00:00:00.000,31.43,31.36,31.79,31.75
EOD/GM,2016-08-10 00:00:00.000,31.03,30.96,31.27,31.25
EOD/GM,2016-08-09 00:00:00.000,30.91,30.83,31.25,31.07
EOD/GM,2016-08-08 00:00:00.000,30.92,30.8,31.06,30.88
EOD/GM,2016-08-05 00:00:00.000,30.51,30.5,30.89,30.8
EOD/GM,2016-08-04 00:00:00.000,30.24,30.23,30.53,30.34
EOD/GM,2016-08-03 00:00:00.000,30,29.91,30.25,30.24
EOD/GM,2016-08-02 00:00:00.000,31.03,29.82,31.08,29.93
EOD/GM,2016-08-01 00:00:00.000,31.54,31.2,31.62,31.3
EOD/GM,2016-07-29 00:00:00.000,30.79,30.78,31.55,31.54
EOD/GM,2016-07-28 00:00:00.000,31.05,30.65,31.2,30.99
EOD/GM,2016-07-27 00:00:00.000,32.18,31.97,32.29,32.02
EOD/GM,2016-07-26 00:00:00.000,31.98,31.89,32.22,32.15
EOD/GM,2016-07-25 00:00:00.000,32.19,31.96,32.36,32.06
EOD/GM,2016-07-22 00:00:00.000,32.1,31.72,32.24,32.16
EOD/GM,2016-07-21 00:00:00.000,32.56,31.83,32.87,32.03
EOD/GM,2016-07-20 00:00:00.000,31.42,31.07,31.58,31.49
EOD/GM,2016-07-19 00:00:00.000,30.7,30.7,31.27,31.25
EOD/GM,2016-07-18 00:00:00.000,30.75,30.61,31.1,30.87
EOD/GM,2016-07-15 00:00:00.000,30.82,30.57,30.98,30.77
