Symbol,Interim_Buffer_Date,Interim_Open,Interim_Low,Interim_High,Interim_Close
EOD/GOOG,2016-08-19 00:00:00.000,775,773.13,777.1,775.42
EOD/GOOG,2016-08-18 00:00:00.000,780.01,777,782.86,777.5
EOD/GOOG,2016-08-17 00:00:00.000,777.32,773.53,780.81,779.91
EOD/GOOG,2016-08-16 00:00:00.000,780.3,773.444,780.98,777.14
EOD/GOOG,2016-08-15 00:00:00.000,783.75,780.11,787.49,782.44
EOD/GOOG,2016-08-12 00:00:00.000,781.5,780.4,783.395,783.22
EOD/GOOG,2016-08-11 00:00:00.000,785,782.97,789.75,784.85
EOD/GOOG,2016-08-10 00:00:00.000,783.75,782.778,786.8123,784.68
EOD/GOOG,2016-08-09 00:00:00.000,781.1,780.57,788.94,784.26
EOD/GOOG,2016-08-08 00:00:00.000,782,778.091,782.63,781.76
EOD/GOOG,2016-08-05 00:00:00.000,773.78,772.34,783.04,782.22
EOD/GOOG,2016-08-04 00:00:00.000,772.22,768.795,774.07,771.61
EOD/GOOG,2016-08-03 00:00:00.000,767.18,766.82,773.21,773.18
EOD/GOOG,2016-08-02 00:00:00.000,768.69,767.85,775.84,771.07
EOD/GOOG,2016-08-01 00:00:00.000,761.09,761.09,780.43,772.88
EOD/GOOG,2016-07-29 00:00:00.000,772.71,766.77,778.55,768.79
EOD/GOOG,2016-07-28 00:00:00.000,747.04,739.3,748.65,745.91
EOD/GOOG,2016-07-27 00:00:00.000,738.28,737,744.46,741.77
EOD/GOOG,2016-07-26 00:00:00.000,739.04,734.27,741.69,738.42
EOD/GOOG,2016-07-25 00:00:00.000,740.67,737.5,742.61,739.77
EOD/GOOG,2016-07-22 00:00:00.000,741.86,736.56,743.24,742.74
EOD/GOOG,2016-07-21 00:00:00.000,740.36,735.831,741.69,738.63
EOD/GOOG,2016-07-20 00:00:00.000,737.33,737.1,742.13,741.19
EOD/GOOG,2016-07-19 00:00:00.000,729.89,729,736.99,736.96
EOD/GOOG,2016-07-18 00:00:00.000,722.71,721.19,736.13,733.78
EOD/GOOG,2016-07-15 00:00:00.000,725.73,719.055,725.74,719.85
EOD/GOOG,2016-07-14 00:00:00.000,721.58,718.03,722.21,720.95
EOD/GOOG,2016-07-13 00:00:00.000,723.62,716.85,724,716.98
EOD/GOOG,2016-07-12 00:00:00.000,719.12,715.91,722.94,720.64
EOD/GOOG,2016-07-11 00:00:00.000,708.05,707.24,716.51,715.09
EOD/GOOG,2016-07-08 00:00:00.000,699.5,696.435,705.71,705.63
EOD/GOOG,2016-07-07 00:00:00.000,698.08,688.215,698.2,695.36
EOD/GOOG,2016-07-06 00:00:00.000,689.98,689.09,701.68,697.77
EOD/GOOG,2016-07-05 00:00:00.000,696.06,688.88,696.94,694.49
EOD/GOOG,2016-07-01 00:00:00.000,692.2,692.1301,700.65,699.21
EOD/GOOG,2016-06-30 00:00:00.000,685.47,683.65,692.32,692.1
EOD/GOOG,2016-06-29 00:00:00.000,683,681.41,687.4292,684.11
EOD/GOOG,2016-06-28 00:00:00.000,678.97,673,680.33,680.04
EOD/GOOG,2016-06-27 00:00:00.000,671,663.284,672.3,668.26
EOD/GOOG,2016-06-24 00:00:00.000,675.17,673.45,689.4,675.22
EOD/GOOG,2016-06-23 00:00:00.000,697.45,687,701.95,701.87
EOD/GOOG,2016-06-22 00:00:00.000,699.06,693.0819,700.86,697.46
EOD/GOOG,2016-06-21 00:00:00.000,698.4,692.01,702.77,695.94
EOD/GOOG,2016-06-20 00:00:00.000,698.77,693.41,702.48,693.71
EOD/GOOG,2016-06-17 00:00:00.000,708.65,688.4515,708.82,691.72
EOD/GOOG,2016-06-16 00:00:00.000,714.91,703.26,716.65,710.36
