Symbol,Interim_Buffer_Date,Interim_Open,Interim_Low,Interim_High,Interim_Close
EOD/JWN,2016-08-19 00:00:00.000,52.4,51.85,52.88,52.64
EOD/JWN,2016-08-18 00:00:00.000,52.13,51.62,52.39,52.07
EOD/JWN,2016-08-17 00:00:00.000,52.03,51.24,52.465,51.74
EOD/JWN,2016-08-16 00:00:00.000,52.7,52.26,53.71,52.66
EOD/JWN,2016-08-15 00:00:00.000,51.73,51.64,53.25,52.96
EOD/JWN,2016-08-12 00:00:00.000,51,50.26,52.09,51.38
EOD/JWN,2016-08-11 00:00:00.000,47,46.66,48.91,47.56
EOD/JWN,2016-08-10 00:00:00.000,43.81,43.52,45.4,44.23
EOD/JWN,2016-08-09 00:00:00.000,44.61,42.95,44.7,43.52
EOD/JWN,2016-08-08 00:00:00.000,43.66,43.66,45.08,44.77
EOD/JWN,2016-08-05 00:00:00.000,42.37,42.225,44.08,43.55
EOD/JWN,2016-08-04 00:00:00.000,41.5,41.1,42.34,42
EOD/JWN,2016-08-03 00:00:00.000,39.88,39.05,41.82,41.61
EOD/JWN,2016-08-02 00:00:00.000,43.02,40.55,43.31,40.74
EOD/JWN,2016-08-01 00:00:00.000,43.93,43.38,44.27,43.74
EOD/JWN,2016-07-29 00:00:00.000,42.86,42.63,44.41,44.23
EOD/JWN,2016-07-28 00:00:00.000,42.67,41.77,43.36,43.27
EOD/JWN,2016-07-27 00:00:00.000,44.06,42.25,44.44,42.78
EOD/JWN,2016-07-26 00:00:00.000,43.97,43.86,45.15,43.93
EOD/JWN,2016-07-25 00:00:00.000,41.08,40.95,42.88,42.74
EOD/JWN,2016-07-22 00:00:00.000,41.23,40.68,41.42,40.86
EOD/JWN,2016-07-21 00:00:00.000,41.14,41.01,41.68,41.24
EOD/JWN,2016-07-20 00:00:00.000,40.65,40.33,41.305,41.2
EOD/JWN,2016-07-19 00:00:00.000,41.08,40.32,41.08,40.46
EOD/JWN,2016-07-18 00:00:00.000,40.69,40.51,41.41,41.11
EOD/JWN,2016-07-15 00:00:00.000,41.07,40.63,41.34,40.64
EOD/JWN,2016-07-14 00:00:00.000,41.48,40.68,41.8,40.87
EOD/JWN,2016-07-13 00:00:00.000,41.57,40.6,41.89,41.1
EOD/JWN,2016-07-12 00:00:00.000,41.14,41.06,41.78,41.62
EOD/JWN,2016-07-11 00:00:00.000,40.4,40.12,41.11,40.96
EOD/JWN,2016-07-08 00:00:00.000,39.46,39.46,40.6,40.32
EOD/JWN,2016-07-07 00:00:00.000,38.34,38.34,39.54,39.15
EOD/JWN,2016-07-06 00:00:00.000,37.29,36.82,38.41,38.33
EOD/JWN,2016-07-05 00:00:00.000,38.23,36.7938,38.23,37.46
EOD/JWN,2016-07-01 00:00:00.000,37.84,37.8,38.54,38.23
EOD/JWN,2016-06-30 00:00:00.000,38.03,37.4,38.1142,38.05
EOD/JWN,2016-06-29 00:00:00.000,37.25,37.075,38.12,37.87
EOD/JWN,2016-06-28 00:00:00.000,36.58,36.36,37.19,37.11
EOD/JWN,2016-06-27 00:00:00.000,37.11,35.01,37.11,36.2
EOD/JWN,2016-06-24 00:00:00.000,37.05,36.56,37.52,37.13
EOD/JWN,2016-06-23 00:00:00.000,38.26,38.09,38.6268,38.25
EOD/JWN,2016-06-22 00:00:00.000,37.83,37.74,38.98,37.79
EOD/JWN,2016-06-21 00:00:00.000,37.95,37.68,38.23,37.75
EOD/JWN,2016-06-20 00:00:00.000,38.09,37.65,38.269,37.71
EOD/JWN,2016-06-17 00:00:00.000,36.9,36.82,37.74,37.48
EOD/JWN,2016-06-16 00:00:00.000,37.19,36.33,37.2,36.78
EOD/JWN,2016-06-15 00:00:00.000,37.05,36.96,38.43,36.99
EOD/JWN,2016-06-14 00:00:00.000,37.69,36.41,37.77,36.68
EOD/JWN,2016-06-13 00:00:00.000,38.88,37.645,38.89,37.68
EOD/JWN,2016-06-10 00:00:00.000,38.85,38.31,38.89,38.88
EOD/JWN,2016-06-09 00:00:00.000,40.58,39.09,40.58,39.57
EOD/JWN,2016-06-08 00:00:00.000,40.48,40.22,40.84,40.56
EOD/JWN,2016-06-07 00:00:00.000,39.59,39.5,40.85,40.5
EOD/JWN,2016-06-06 00:00:00.000,39.85,39.29,40.22,39.84
EOD/JWN,2016-06-03 00:00:00.000,39.13,39.0601,39.94,39.75
EOD/JWN,2016-06-02 00:00:00.000,38.23,38,39.41,39.3
EOD/JWN,2016-06-01 00:00:00.000,37.98,37.75,38.33,38.15
EOD/JWN,2016-05-31 00:00:00.000,38.17,37.62,38.31,37.98
EOD/JWN,2016-05-27 00:00:00.000,37.77,37.61,38.18,38.17
EOD/JWN,2016-05-26 00:00:00.000,37.84,37.36,38.1,37.66
EOD/JWN,2016-05-25 00:00:00.000,38.07,37.66,38.365,38.2
EOD/JWN,2016-05-24 00:00:00.000,38.38,37.615,38.58,38.01
EOD/JWN,2016-05-23 00:00:00.000,38.28,38.11,39.18,38.16
EOD/JWN,2016-05-20 00:00:00.000,37.25,37.08,38.13,38.12
