Symbol,Interim_Buffer_Date,Interim_Open,Interim_Low,Interim_High,Interim_Close
EOD/KO,2016-08-19 00:00:00.000,44.05,43.74,44.06,43.92
EOD/KO,2016-08-18 00:00:00.000,44.01,44,44.26,44.1
EOD/KO,2016-08-17 00:00:00.000,44.01,43.78,44.07,44.06
EOD/KO,2016-08-16 00:00:00.000,44.25,43.83,44.25,43.83
EOD/KO,2016-08-15 00:00:00.000,44.1,44.01,44.33,44.24
EOD/KO,2016-08-12 00:00:00.000,43.91,43.79,44.19,44.03
EOD/KO,2016-08-11 00:00:00.000,43.72,43.62,43.87,43.75
EOD/KO,2016-08-10 00:00:00.000,43.64,43.5,43.69,43.61
EOD/KO,2016-08-09 00:00:00.000,43.5,43.3762,43.64,43.47
EOD/KO,2016-08-08 00:00:00.000,43.43,43.22,43.5166,43.44
EOD/KO,2016-08-05 00:00:00.000,43.65,43.41,43.75,43.48
EOD/KO,2016-08-04 00:00:00.000,43.56,43.4,43.795,43.51
EOD/KO,2016-08-03 00:00:00.000,43.66,43.37,43.7,43.64
EOD/KO,2016-08-02 00:00:00.000,43.35,43.31,43.58,43.53
EOD/KO,2016-08-01 00:00:00.000,43.69,43.43,43.83,43.45
EOD/KO,2016-07-29 00:00:00.000,43.72,43.48,43.75,43.63
EOD/KO,2016-07-28 00:00:00.000,43.27,43.22,43.69,43.65
EOD/KO,2016-07-27 00:00:00.000,43.9,43.1,44.06,43.4
EOD/KO,2016-07-26 00:00:00.000,45.53,44.83,45.65,44.88
EOD/KO,2016-07-25 00:00:00.000,45.81,45.47,45.83,45.57
EOD/KO,2016-07-22 00:00:00.000,45.5,45.46,45.8375,45.83
EOD/KO,2016-07-21 00:00:00.000,45.34,45.255,45.51,45.45
EOD/KO,2016-07-20 00:00:00.000,45.75,45.39,45.77,45.51
EOD/KO,2016-07-19 00:00:00.000,45.46,45.43,45.71,45.63
EOD/KO,2016-07-18 00:00:00.000,45.69,45.48,45.7,45.63
EOD/KO,2016-07-15 00:00:00.000,45.88,45.44,45.9,45.63
EOD/KO,2016-07-14 00:00:00.000,45.73,45.58,45.94,45.69
EOD/KO,2016-07-13 00:00:00.000,45.61,45.43,45.76,45.74
EOD/KO,2016-07-12 00:00:00.000,45.64,45.18,45.71,45.58
EOD/KO,2016-07-11 00:00:00.000,45.35,45.11,45.77,45.57
EOD/KO,2016-07-08 00:00:00.000,45.3,45.0689,45.52,45.38
EOD/KO,2016-07-07 00:00:00.000,45.42,44.97,45.52,45.09
EOD/KO,2016-07-06 00:00:00.000,45.5,44.915,45.55,45.27
EOD/KO,2016-07-05 00:00:00.000,45.16,45.15,45.67,45.43
EOD/KO,2016-07-01 00:00:00.000,45.32,45.07,45.41,45.12
EOD/KO,2016-06-30 00:00:00.000,44.52,44.49,45.33,45.33
EOD/KO,2016-06-29 00:00:00.000,44.39,44.24,44.71,44.44
EOD/KO,2016-06-28 00:00:00.000,44.06,43.67,44.19,44.18
EOD/KO,2016-06-27 00:00:00.000,43.67,43.315,43.885,43.78
EOD/KO,2016-06-24 00:00:00.000,44.2,43.82,44.5561,43.93
EOD/KO,2016-06-23 00:00:00.000,45.03,44.84,45.17,45.08
EOD/KO,2016-06-22 00:00:00.000,45.25,44.81,45.325,44.86
EOD/KO,2016-06-21 00:00:00.000,45.16,45,45.28,45.13
EOD/KO,2016-06-20 00:00:00.000,45.09,44.96,45.31,44.98
EOD/KO,2016-06-17 00:00:00.000,45.17,44.38,45.22,44.79
EOD/KO,2016-06-16 00:00:00.000,44.87,44.7199,45.34,45.31
EOD/KO,2016-06-15 00:00:00.000,45.12,44.875,45.34,45.01
EOD/KO,2016-06-14 00:00:00.000,44.85,44.44,45.13,45.04
EOD/KO,2016-06-13 00:00:00.000,45.48,45.09,45.67,45.12
EOD/KO,2016-06-10 00:00:00.000,45.62,45.56,46.01,45.99
EOD/KO,2016-06-09 00:00:00.000,45.33,45.31,45.7998,45.76
EOD/KO,2016-06-08 00:00:00.000,45.24,45.19,45.66,45.55
EOD/KO,2016-06-07 00:00:00.000,45.35,45.2,45.48,45.32
EOD/KO,2016-06-06 00:00:00.000,45.09,45.08,45.4815,45.37
EOD/KO,2016-06-03 00:00:00.000,44.75,44.68,45.05,45.04
EOD/KO,2016-06-02 00:00:00.000,44.7,44.5,44.72,44.72
EOD/KO,2016-06-01 00:00:00.000,44.6,44.49,44.775,44.7
EOD/KO,2016-05-31 00:00:00.000,44.98,44.26,44.98,44.6
EOD/KO,2016-05-27 00:00:00.000,44.71,44.65,44.96,44.78
EOD/KO,2016-05-26 00:00:00.000,44.53,44.44,44.765,44.69
EOD/KO,2016-05-25 00:00:00.000,44.51,44.25,44.63,44.38
EOD/KO,2016-05-24 00:00:00.000,44.1,44,44.42,44.37
EOD/KO,2016-05-23 00:00:00.000,44.07,43.94,44.1559,43.97
EOD/KO,2016-05-20 00:00:00.000,44.51,43.94,44.54,43.95
EOD/KO,2016-05-19 00:00:00.000,44.25,44.04,44.39,44.32
EOD/KO,2016-05-18 00:00:00.000,44.56,44.23,44.8298,44.48
EOD/KO,2016-05-17 00:00:00.000,45.45,44.71,45.56,44.75
EOD/KO,2016-05-16 00:00:00.000,45.16,45.14,45.73,45.62
EOD/KO,2016-05-13 00:00:00.000,45.75,45.23,45.83,45.35
EOD/KO,2016-05-12 00:00:00.000,45.55,45.485,45.895,45.83
EOD/KO,2016-05-11 00:00:00.000,45.73,45.45,45.88,45.46
EOD/KO,2016-05-10 00:00:00.000,45.44,45.42,45.84,45.75
EOD/KO,2016-05-09 00:00:00.000,45.32,45.17,45.5,45.24
EOD/KO,2016-05-06 00:00:00.000,45.06,44.915,45.41,45.32
EOD/KO,2016-05-05 00:00:00.000,44.93,44.87,45.49,45.06
EOD/KO,2016-05-04 00:00:00.000,44.72,44.505,45.11,44.98
EOD/KO,2016-05-03 00:00:00.000,44.87,44.65,45.065,44.84
EOD/KO,2016-05-02 00:00:00.000,44.57,44.57,45.19,44.98
EOD/KO,2016-04-29 00:00:00.000,44.53,44.5,44.86,44.8
EOD/KO,2016-04-28 00:00:00.000,44.5,44.46,44.9,44.63
EOD/KO,2016-04-27 00:00:00.000,44.64,44.25,44.86,44.68
EOD/KO,2016-04-26 00:00:00.000,44.92,44.43,44.96,44.53
EOD/KO,2016-04-25 00:00:00.000,44.5,44.38,44.72,44.71
EOD/KO,2016-04-22 00:00:00.000,43.79,43.79,44.66,44.54
EOD/KO,2016-04-21 00:00:00.000,44.26,42.87,44.28,43.66
EOD/KO,2016-04-20 00:00:00.000,45.34,44.06,45.38,44.37
EOD/KO,2016-04-19 00:00:00.000,46.31,46.15,46.62,46.6
EOD/KO,2016-04-18 00:00:00.000,46.13,45.82,46.28,46.22
