Symbol,Interim_Buffer_Date,Interim_Open,Interim_Low,Interim_High,Interim_Close
EOD/MSFT,2016-08-19 00:00:00.000,57.43,57.2,57.73,57.62
EOD/MSFT,2016-08-18 00:00:00.000,57.42,57.27,57.7,57.6
EOD/MSFT,2016-08-17 00:00:00.000,57.54,57.23,57.68,57.56
EOD/MSFT,2016-08-16 00:00:00.000,57.61,57.27,57.62,57.44
EOD/MSFT,2016-08-15 00:00:00.000,58.01,57.96,58.5,58.12
EOD/MSFT,2016-08-12 00:00:00.000,58.03,57.62,58.19,57.94
EOD/MSFT,2016-08-11 00:00:00.000,58.03,58.03,58.45,58.3
EOD/MSFT,2016-08-10 00:00:00.000,58.16,57.82,58.32,58.02
EOD/MSFT,2016-08-09 00:00:00.000,58.17,58.02,58.5,58.2
EOD/MSFT,2016-08-08 00:00:00.000,58.055,57.78,58.085,58.06
EOD/MSFT,2016-08-05 00:00:00.000,57.65,57.45,58.21,57.96
EOD/MSFT,2016-08-04 00:00:00.000,56.8,56.67,57.5193,57.39
EOD/MSFT,2016-08-03 00:00:00.000,56.68,56.49,57.11,56.97
EOD/MSFT,2016-08-02 00:00:00.000,56.85,56.31,56.9,56.58
EOD/MSFT,2016-08-01 00:00:00.000,56.6,56.14,56.75,56.58
EOD/MSFT,2016-07-29 00:00:00.000,56.26,56.05,56.76,56.68
EOD/MSFT,2016-07-28 00:00:00.000,56,55.72,56.37,56.21
EOD/MSFT,2016-07-27 00:00:00.000,56.61,56.11,56.8,56.19
EOD/MSFT,2016-07-26 00:00:00.000,56.52,56.51,57.29,56.76
EOD/MSFT,2016-07-25 00:00:00.000,56.47,56.255,56.74,56.73
EOD/MSFT,2016-07-22 00:00:00.000,56.08,55.78,56.6275,56.57
EOD/MSFT,2016-07-21 00:00:00.000,55.98,55.76,56.23,55.8
EOD/MSFT,2016-07-20 00:00:00.000,56.15,55.53,56.84,55.91
EOD/MSFT,2016-07-19 00:00:00.000,53.71,52.93,53.9,53.09
EOD/MSFT,2016-07-18 00:00:00.000,53.7,53.55,54.34,53.96
EOD/MSFT,2016-07-15 00:00:00.000,53.95,53.21,54,53.7
EOD/MSFT,2016-07-14 00:00:00.000,53.84,53.58,53.99,53.74
EOD/MSFT,2016-07-13 00:00:00.000,53.56,53.18,53.86,53.51
EOD/MSFT,2016-07-12 00:00:00.000,52.94,52.785,53.4,53.21
EOD/MSFT,2016-07-11 00:00:00.000,52.5,52.47,52.83,52.59
EOD/MSFT,2016-07-08 00:00:00.000,51.73,51.55,52.36,52.3
EOD/MSFT,2016-07-07 00:00:00.000,51.42,51.07,51.61,51.38
EOD/MSFT,2016-07-06 00:00:00.000,50.78,50.39,51.54,51.38
EOD/MSFT,2016-07-05 00:00:00.000,50.83,50.74,51.28,51.17
EOD/MSFT,2016-07-01 00:00:00.000,51.13,51.07,51.72,51.16
EOD/MSFT,2016-06-30 00:00:00.000,50.72,50.5,51.3,51.17
EOD/MSFT,2016-06-29 00:00:00.000,49.91,49.8,50.72,50.54
EOD/MSFT,2016-06-28 00:00:00.000,48.92,48.67,49.47,49.44
EOD/MSFT,2016-06-27 00:00:00.000,49.1,48.035,49.1466,48.43
EOD/MSFT,2016-06-24 00:00:00.000,49.81,49.52,50.94,49.83
EOD/MSFT,2016-06-23 00:00:00.000,51.28,51.15,52.06,51.91
EOD/MSFT,2016-06-22 00:00:00.000,51.08,50.9525,51.46,50.99
EOD/MSFT,2016-06-21 00:00:00.000,50.2,50.16,51.43,51.19
EOD/MSFT,2016-06-20 00:00:00.000,50.64,50.03,50.83,50.07
EOD/MSFT,2016-06-17 00:00:00.000,50.41,49.82,50.43,50.13
EOD/MSFT,2016-06-16 00:00:00.000,49.52,49.5068,50.47,50.39
EOD/MSFT,2016-06-15 00:00:00.000,49.78,49.69,50.12,49.69
EOD/MSFT,2016-06-14 00:00:00.000,49.9,49.57,50.1,49.83
EOD/MSFT,2016-06-13 00:00:00.000,49.58,49.06,50.715,50.14
