Symbol,Interim_Buffer_Date,Interim_Open,Interim_Low,Interim_High,Interim_Close
EOD/SBUX,2016-08-19 00:00:00.000,55.46,54.85,55.56,54.94
EOD/SBUX,2016-08-18 00:00:00.000,55.78,55.49,55.9,55.53
EOD/SBUX,2016-08-17 00:00:00.000,55.77,55.43,55.92,55.8
EOD/SBUX,2016-08-16 00:00:00.000,55.25,54.92,55.57,55.37
EOD/SBUX,2016-08-15 00:00:00.000,55.65,55.18,55.7,55.25
EOD/SBUX,2016-08-12 00:00:00.000,55.27,55.23,55.745,55.47
EOD/SBUX,2016-08-11 00:00:00.000,55.75,55.46,55.96,55.47
EOD/SBUX,2016-08-10 00:00:00.000,55.37,55.11,55.71,55.62
EOD/SBUX,2016-08-09 00:00:00.000,55.39,55.18,55.71,55.2
EOD/SBUX,2016-08-08 00:00:00.000,55.97,55.17,55.99,55.36
EOD/SBUX,2016-08-05 00:00:00.000,55.8,55.52,56.12,55.9
EOD/SBUX,2016-08-04 00:00:00.000,56.05,55.38,56.29,55.42
EOD/SBUX,2016-08-03 00:00:00.000,56.46,55.72,56.59,55.94
EOD/SBUX,2016-08-02 00:00:00.000,57.25,56.54,57.34,56.73
EOD/SBUX,2016-08-01 00:00:00.000,58,57.43,58.05,57.63
EOD/SBUX,2016-07-29 00:00:00.000,58.18,57.92,58.43,58.05
EOD/SBUX,2016-07-28 00:00:00.000,57.88,57.74,58.31,58.21
EOD/SBUX,2016-07-27 00:00:00.000,58.38,57.67,58.4,57.85
EOD/SBUX,2016-07-26 00:00:00.000,58.58,58.2,58.84,58.31
EOD/SBUX,2016-07-25 00:00:00.000,57.72,57.5,58.09,57.95
EOD/SBUX,2016-07-22 00:00:00.000,57.6,57.2,58.24,57.9
EOD/SBUX,2016-07-21 00:00:00.000,57.62,57.0375,57.67,57.6
EOD/SBUX,2016-07-20 00:00:00.000,57,56.705,57.66,57.54
EOD/SBUX,2016-07-19 00:00:00.000,56.85,56.545,57.135,56.76
EOD/SBUX,2016-07-18 00:00:00.000,57.59,56.85,57.59,56.92
EOD/SBUX,2016-07-15 00:00:00.000,57.69,57.125,57.74,57.41
EOD/SBUX,2016-07-14 00:00:00.000,57,56.97,57.68,57.59
EOD/SBUX,2016-07-13 00:00:00.000,56.8,56.35,57.26,56.48
EOD/SBUX,2016-07-12 00:00:00.000,56.65,56.505,57.6,57.48
EOD/SBUX,2016-07-11 00:00:00.000,56.8,56.06,56.92,56.32
EOD/SBUX,2016-07-08 00:00:00.000,56.92,56.36,57,56.51
EOD/SBUX,2016-07-07 00:00:00.000,56.66,56.47,57,56.91
EOD/SBUX,2016-07-06 00:00:00.000,56.52,56.32,57.11,56.75
EOD/SBUX,2016-07-05 00:00:00.000,56.81,56.55,56.96,56.77
EOD/SBUX,2016-07-01 00:00:00.000,57.04,56.845,57.36,56.99
EOD/SBUX,2016-06-30 00:00:00.000,56.81,56.516,57.19,57.12
EOD/SBUX,2016-06-29 00:00:00.000,55.42,55.36,56.945,56.74
EOD/SBUX,2016-06-28 00:00:00.000,54.1,53.95,54.9,54.85
EOD/SBUX,2016-06-27 00:00:00.000,54.2,53.41,54.48,53.69
EOD/SBUX,2016-06-24 00:00:00.000,54.05,54.01,55.57,54.68
EOD/SBUX,2016-06-23 00:00:00.000,55.98,55.9,56.195,56.13
EOD/SBUX,2016-06-22 00:00:00.000,55.88,55.49,55.98,55.61
