Symbol,Interim_Buffer_Date,Interim_Open,Interim_Low,Interim_High,Interim_Close
EOD/WMT,2016-08-19 00:00:00.000,74.1,72.67,74.29,72.81
EOD/WMT,2016-08-18 00:00:00.000,74.94,73.87,75.19,74.3
EOD/WMT,2016-08-17 00:00:00.000,71.99,71.99,72.95,72.93
EOD/WMT,2016-08-16 00:00:00.000,72.59,72.21,73.31,72.89
EOD/WMT,2016-08-15 00:00:00.000,73.81,73.11,74.01,73.32
EOD/WMT,2016-08-12 00:00:00.000,73.8,73.56,74.12,73.89
EOD/WMT,2016-08-11 00:00:00.000,74.5,73.53,74.8,73.8
EOD/WMT,2016-08-10 00:00:00.000,73.57,73.39,74.51,73.95
EOD/WMT,2016-08-09 00:00:00.000,73.36,73.08,73.88,73.54
EOD/WMT,2016-08-08 00:00:00.000,74,73.04,74.07,73.34
EOD/WMT,2016-08-05 00:00:00.000,73.46,73.46,73.95,73.76
EOD/WMT,2016-08-04 00:00:00.000,72.8,72.59,73.49,73.3
EOD/WMT,2016-08-03 00:00:00.000,73,72.51,73.4,72.94
EOD/WMT,2016-08-02 00:00:00.000,73.7,72.63,73.72,73.13
EOD/WMT,2016-08-01 00:00:00.000,72.81,72.81,73.99,73.78
EOD/WMT,2016-07-29 00:00:00.000,73.17,72.76,73.25,72.97
EOD/WMT,2016-07-28 00:00:00.000,73.14,72.47,73.32,73.24
EOD/WMT,2016-07-27 00:00:00.000,73.66,73.135,73.82,73.32
EOD/WMT,2016-07-26 00:00:00.000,73.71,73.41,74.07,73.73
EOD/WMT,2016-07-25 00:00:00.000,73.55,73.41,73.835,73.75
EOD/WMT,2016-07-22 00:00:00.000,73.76,73.42,73.91,73.55
EOD/WMT,2016-07-21 00:00:00.000,73.43,73.14,73.656,73.52
EOD/WMT,2016-07-20 00:00:00.000,73.88,73.63,74.11,73.79
EOD/WMT,2016-07-19 00:00:00.000,73.64,73.585,73.96,73.66
EOD/WMT,2016-07-18 00:00:00.000,73.64,73.53,74.18,73.84
EOD/WMT,2016-07-15 00:00:00.000,73.98,73.44,74.01,73.67
EOD/WMT,2016-07-14 00:00:00.000,73.79,73.61,74.11,73.7
EOD/WMT,2016-07-13 00:00:00.000,73.25,72.94,73.63,73.62
EOD/WMT,2016-07-12 00:00:00.000,73.56,73,73.73,73.27
EOD/WMT,2016-07-11 00:00:00.000,73.67,73.5,74.35,74.06
EOD/WMT,2016-07-08 00:00:00.000,73.82,73.24,73.85,73.84
EOD/WMT,2016-07-07 00:00:00.000,73.73,73.15,73.9321,73.53
EOD/WMT,2016-07-06 00:00:00.000,73.26,73.17,73.98,73.82
EOD/WMT,2016-07-05 00:00:00.000,72.75,72.68,73.62,73.14
EOD/WMT,2016-07-01 00:00:00.000,73.13,72.415,73.17,72.81
EOD/WMT,2016-06-30 00:00:00.000,72.57,72.32,73.195,73.02
EOD/WMT,2016-06-29 00:00:00.000,71.63,71.56,72.49,72.46
EOD/WMT,2016-06-28 00:00:00.000,71.76,70.67,71.87,71.51
EOD/WMT,2016-06-27 00:00:00.000,71.64,70.875,71.77,71.5
EOD/WMT,2016-06-24 00:00:00.000,70.55,70.51,72.72,71.96
EOD/WMT,2016-06-23 00:00:00.000,72.2,71.785,72.24,72.1
EOD/WMT,2016-06-22 00:00:00.000,71.6,71.565,72.25,71.75
EOD/WMT,2016-06-21 00:00:00.000,70.95,70.95,71.72,71.46
EOD/WMT,2016-06-20 00:00:00.000,71.31,71.05,71.78,71.1
EOD/WMT,2016-06-17 00:00:00.000,71.05,70.4,71.31,70.95
EOD/WMT,2016-06-16 00:00:00.000,71,70.8,71.46,71.3
EOD/WMT,2016-06-15 00:00:00.000,71.2,71,71.615,71.12
EOD/WMT,2016-06-14 00:00:00.000,70.66,70.2,71.17,70.95
EOD/WMT,2016-06-13 00:00:00.000,71,70.485,71.18,70.53
EOD/WMT,2016-06-10 00:00:00.000,71,70.68,71.41,71.14
EOD/WMT,2016-06-09 00:00:00.000,71.36,70.85,71.59,71.09
EOD/WMT,2016-06-08 00:00:00.000,70.85,70.8,71.45,71.28
EOD/WMT,2016-06-07 00:00:00.000,71.1,70.85,71.31,71.03
EOD/WMT,2016-06-06 00:00:00.000,71.52,71,71.55,71.05
EOD/WMT,2016-06-03 00:00:00.000,70.57,70.52,71.05,70.87
EOD/WMT,2016-06-02 00:00:00.000,70.5,70.145,71,70.95
EOD/WMT,2016-06-01 00:00:00.000,70.5,70.41,70.905,70.5
EOD/WMT,2016-05-31 00:00:00.000,70.58,70.48,71,70.78
EOD/WMT,2016-05-27 00:00:00.000,70.86,70.49,70.89,70.75
EOD/WMT,2016-05-26 00:00:00.000,70.69,70.6,71.375,70.85
EOD/WMT,2016-05-25 00:00:00.000,70.25,70.24,70.995,70.48
EOD/WMT,2016-05-24 00:00:00.000,69.65,69.55,70.42,70.24
EOD/WMT,2016-05-23 00:00:00.000,69.6,69.44,70.06,69.5
EOD/WMT,2016-05-20 00:00:00.000,69.33,68.85,70.14,69.86
EOD/WMT,2016-05-19 00:00:00.000,68.1,67.5,69.33,69.2
EOD/WMT,2016-05-18 00:00:00.000,63.02,62.72,63.777,63.15
EOD/WMT,2016-05-17 00:00:00.000,66.06,64.88,66.27,65.1
EOD/WMT,2016-05-16 00:00:00.000,64.86,64.68,66.35,66.02
EOD/WMT,2016-05-13 00:00:00.000,66.48,64.65,66.55,64.94
EOD/WMT,2016-05-12 00:00:00.000,66.55,66.38,67.05,66.85
EOD/WMT,2016-05-11 00:00:00.000,67.47,65.61,67.5,66.41
EOD/WMT,2016-05-10 00:00:00.000,68.92,68.45,69.13,68.79
EOD/WMT,2016-05-09 00:00:00.000,68.25,68.16,69.1,68.95
EOD/WMT,2016-05-06 00:00:00.000,66.91,66.8,68.26,68.25
EOD/WMT,2016-05-05 00:00:00.000,66.97,66.58,67.25,67.21
EOD/WMT,2016-05-04 00:00:00.000,66.85,66.44,67.49,67.19
EOD/WMT,2016-05-03 00:00:00.000,66.86,66.75,67.495,67
EOD/WMT,2016-05-02 00:00:00.000,66.62,66.53,67.7,67.59
EOD/WMT,2016-04-29 00:00:00.000,68.73,66.36,68.82,66.87
EOD/WMT,2016-04-28 00:00:00.000,69.07,68.75,69.62,68.91
EOD/WMT,2016-04-27 00:00:00.000,69.49,68.99,69.78,69.42
EOD/WMT,2016-04-26 00:00:00.000,69.7,69.1,69.8899,69.3
EOD/WMT,2016-04-25 00:00:00.000,68.55,68.06,69.5,69.47
EOD/WMT,2016-04-22 00:00:00.000,68.82,68.28,68.94,68.72
EOD/WMT,2016-04-21 00:00:00.000,69.47,68.24,69.68,68.47
EOD/WMT,2016-04-20 00:00:00.000,69.76,69.131,69.99,69.21
EOD/WMT,2016-04-19 00:00:00.000,69.79,69.5,70.08,69.77
EOD/WMT,2016-04-18 00:00:00.000,69.05,68.85,69.9,69.86
EOD/WMT,2016-04-15 00:00:00.000,68.94,68.94,69.41,69.06
EOD/WMT,2016-04-14 00:00:00.000,69.15,68.15,69.24,68.8
EOD/WMT,2016-04-13 00:00:00.000,69.01,68.87,69.42,69.15
EOD/WMT,2016-04-12 00:00:00.000,67.57,67.45,68.87,68.8
EOD/WMT,2016-04-11 00:00:00.000,68.01,67.38,68.37,67.4
EOD/WMT,2016-04-08 00:00:00.000,68.31,67.86,68.39,68.06
EOD/WMT,2016-04-07 00:00:00.000,68.83,67.945,68.93,68.22
EOD/WMT,2016-04-06 00:00:00.000,68.7,68.52,69.06,69.04
EOD/WMT,2016-04-05 00:00:00.000,69.03,68.27,69.25,68.64
EOD/WMT,2016-04-04 00:00:00.000,69,68.92,69.37,69.1
EOD/WMT,2016-04-01 00:00:00.000,68.02,68.02,69.2,69.06
EOD/WMT,2016-03-31 00:00:00.000,68.75,68.47,69.19,68.49
EOD/WMT,2016-03-30 00:00:00.000,68.33,68.29,69,68.8
EOD/WMT,2016-03-29 00:00:00.000,68.15,67.43,68.2091,68.03
EOD/WMT,2016-03-28 00:00:00.000,67.93,67.93,68.575,68.12
EOD/WMT,2016-03-24 00:00:00.000,67.43,67.38,68.04,68
EOD/WMT,2016-03-23 00:00:00.000,68.01,67.44,68.1,67.46
EOD/WMT,2016-03-22 00:00:00.000,68,67.79,68.68,67.87
EOD/WMT,2016-03-21 00:00:00.000,67.03,66.97,68.38,67.97
